taxon_id,scientific_name,common_name,rounded_gRank,NE_sRank,SD_sRank,usfws_status,sd_te,nebraska_swap,kingdom,phylum,class,order,family,genus,species,subspecies,variety,form,NENHP_nObs,NENHP_minYear,NENHP_maxYear,SDNHP_nObs,SDNHP_minYear,SDNHP_maxYear,SEI_nObs,SEI_minYear,SEI_maxYear,GBIF_nObs,GBIF_minYear,GBIF_maxYear,iDB_nObs,iDB_minYear,iDB_maxYear,sum_nObs
2710743,Schoenoplectiella saximontana,Rocky Mountain Bulrush,G5,S1,SNR,NA,NA,Tier 1,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Schoenoplectiella,Schoenoplectiella saximontana,NA,NA,NA,1,1892,1995,0,NA,NA,3,1995,1995,2,1995,1995,3,1995,1995,9
2717391,Scirpus microcarpus,Small-fruit Bulrush,G5,S1,SNR,NA,NA,Tier 2,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Scirpus,Scirpus microcarpus,NA,NA,NA,1,1995,2012,0,NA,NA,4,1995,2004,1,1995,1995,2,1995,1995,8
5289769,Scolochloa festucacea,Sprangletop,G5,S1,SNR,NA,NA,Tier 2,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Scolochloa,Scolochloa festucacea,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,2,1978,1978,2
2702266,Sparganium emersum,Green-fruit Bur-reed,G5,S2,S1,NA,NA,Tier 2,Plantae,Tracheophyta,Liliopsida,Poales,Typhaceae,Sparganium,Sparganium emersum,NA,NA,NA,1,1894,1995,0,NA,NA,2,1995,1995,0,NA,NA,1,1995,1995,4
2805431,Spiranthes magnicamporum,Great Plains Ladies'-tresses,G3,SNR,S3,NA,NA,NA,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Spiranthes,Spiranthes magnicamporum,NA,NA,NA,0,NA,NA,0,NA,NA,1,1892,1892,0,NA,NA,0,NA,NA,1
2805404,Spiranthes romanzoffiana,Hooded Ladies'-tresses,G5,S1,SNR,NA,NA,Tier 2,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Spiranthes,Spiranthes romanzoffiana,NA,NA,NA,0,NA,NA,0,NA,NA,2,1892,1892,0,NA,NA,0,NA,NA,2
2865280,Triglochin palustris,Slender Bog Arrow-grass,G5,S1,SNR,NA,NA,Tier 2,Plantae,Tracheophyta,Liliopsida,Alismatales,Juncaginaceae,Triglochin,Triglochin palustris,NA,NA,NA,2,1995,1995,0,NA,NA,6,1995,1995,2,1995,1995,4,1995,1995,14
2926406,Agastache foeniculum,Blue Giant-hyssop,G5,S1,SNR,NA,NA,Tier 2,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Agastache,Agastache foeniculum,NA,NA,NA,4,1982,2019,0,NA,NA,7,1892,1991,0,NA,NA,3,1971,1991,14
7656548,Amorpha nana,Fragrant Indigobush,G5,S1,SNR,NA,NA,Tier 2,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Amorpha,Amorpha nana,NA,NA,NA,0,NA,NA,0,NA,NA,8,1967,2008,4,2005,2008,4,2005,2008,16
4926336,Anaphalis margaritacea,Pearly Everlasting,G5,S1,SNR,NA,NA,Tier 2,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Anaphalis,Anaphalis margaritacea,NA,NA,NA,4,1911,2016,0,NA,NA,2,2015,2016,1,1937,1937,2,2015,2016,9
5385548,Antennaria dimorpha,Two-form Pussytoes,G5,S1,S1,NA,NA,Tier 2,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Antennaria,Antennaria dimorpha,NA,NA,NA,1,1890,1890,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1
3170327,Asclepias lanuginosa,Woolly Milkweed,G3,S3,S2,NA,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Asclepias,Asclepias lanuginosa,NA,NA,NA,1,1995,1995,0,NA,NA,1,1995,1995,0,NA,NA,0,NA,NA,2
5342849,Astragalus agrestis,Purple Milkvetch,G5,S1,SNR,NA,NA,Tier 2,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Astragalus,Astragalus agrestis,NA,NA,NA,5,1897,2016,0,NA,NA,13,1927,2016,3,2001,2010,3,2010,2016,24
5354810,Astragalus barrii,Barr's Milkvetch,G3,S1,S3,NA,NA,Tier 1,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Astragalus,Astragalus barrii,NA,NA,NA,0,NA,NA,19,1948,2005,20,1957,2005,8,1970,1970,0,NA,NA,47
7979948,Atriplex suckleyi,Suckley's Saltbush,G4,S1,SNR,NA,NA,Tier 2,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Stutzia,Stutzia dioica,NA,NA,NA,0,NA,NA,0,NA,NA,23,1911,2005,8,1911,2005,9,1911,2005,40
5421092,Bergia texana,Texas Bergia,G5,S1,SNR,NA,NA,Tier 2,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Elatinaceae,Bergia,Bergia texana,NA,NA,NA,4,1991,1998,0,NA,NA,8,1991,2008,5,1995,2008,6,1991,2008,23
3043348,Boechera grahamii,Graham's Rockcress,G5,S2,SNR,NA,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Boechera,Boechera grahamii,NA,NA,NA,3,1991,2015,0,NA,NA,2,1974,2015,0,NA,NA,2,1974,2015,7
5372488,Callitriche hermaphroditica,Autumnal Water-starwort,G5,S2,SNR,NA,NA,Tier 2,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Callitriche,Callitriche hermaphroditica,NA,NA,NA,5,1995,1996,0,NA,NA,5,1975,1995,2,1975,1995,0,NA,NA,12
5372484,Callitriche palustris,Vernal Water-starwort,G5,S2,SNR,NA,NA,Tier 2,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Callitriche,Callitriche palustris,NA,NA,NA,4,1891,1996,0,NA,NA,1,1996,1996,0,NA,NA,4,1975,1995,9
5371685,Caltha palustris,Marsh-marigold,G5,S2,SNR,NA,NA,Tier 2,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Caltha,Caltha palustris,NA,NA,NA,1,1911,1911,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1
3083891,Chenopodium subglabrum,Smooth Goosefoot,G3,S3,S2,NA,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Chenopodium,Chenopodium subglabrum,NA,NA,NA,10,1893,2013,0,NA,NA,17,1914,2013,6,1914,1996,11,1914,2013,44
3920598,Clematis hirsutissima var. scottii,Clustered Leatherflower,T4,S1,SNR,NA,NA,Tier 2,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Clematis,Clematis hirsutissima,NA,Clematis hirsutissima scottii,NA,0,NA,NA,0,NA,NA,1,2005,2005,1,2005,2005,1,2005,2005,3
7348703,Crocanthemum bicknellii,Plains Frostweed,G5,S1,SNR,NA,NA,Tier 2,Plantae,Tracheophyta,Magnoliopsida,Malvales,Cistaceae,Crocanthemum,Crocanthemum bicknellii,NA,NA,NA,1,1893,1895,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1
